Cidade,Transportadora,UF,Prazo,Capital/Interior
AMERICANA,RODONAVES,SP,4,INTERIOR
NOVA ODESSA,RODONAVES,SP,4,INTERIOR
SANTA BARBARA D OESTE,RODONAVES,SP,4,INTERIOR
ANAPOLIS,RODONAVES,GO,5,INTERIOR
GOIANAPOLIS,RODONAVES,GO,8,INTERIOR
TEREZOPOLIS DE GOIAS,RODONAVES,GO,8,INTERIOR
ANDRADINA,RODONAVES,SP,5,INTERIOR
CASTILHO,RODONAVES,SP,7,INTERIOR
GUARACAI,RODONAVES,SP,6,INTERIOR
ITAPURA,RODONAVES,SP,9,INTERIOR
LAVINIA,RODONAVES,SP,6,INTERIOR
MIRANDOPOLIS,RODONAVES,SP,6,INTERIOR
MURUTINGA DO SUL,RODONAVES,SP,6,INTERIOR
NOVA INDEPENDENCIA,RODONAVES,SP,7,INTERIOR
ARACATUBA,RODONAVES,SP,4,INTERIOR
BENTO DE ABREU,RODONAVES,SP,7,INTERIOR
BILAC,RODONAVES,SP,9,INTERIOR
BIRIGUI,RODONAVES,SP,4,INTERIOR
BRAUNA,RODONAVES,SP,9,INTERIOR
BREJO ALEGRE,RODONAVES,SP,9,INTERIOR
BURITAMA,RODONAVES,SP,7,INTERIOR
CLEMENTINA,RODONAVES,SP,9,INTERIOR
COROADOS,RODONAVES,SP,9,INTERIOR
GABRIEL MONTEIRO,RODONAVES,SP,9,INTERIOR
GLICERIO,RODONAVES,SP,9,INTERIOR
GUARARAPES,RODONAVES,SP,5,INTERIOR
LOURDES,RODONAVES,SP,9,INTERIOR
PIACATU,RODONAVES,SP,9,INTERIOR
PLANALTO,RODONAVES,SP,9,INTERIOR
RUBIACEA,RODONAVES,SP,7,INTERIOR
SANTO ANTONIO DO ARACANGUA,RODONAVES,SP,10,INTERIOR
SANTOPOLIS DO AGUAPEI,RODONAVES,SP,9,INTERIOR
TURIUBA,RODONAVES,SP,9,INTERIOR
VALPARAISO,RODONAVES,SP,5,INTERIOR
ZACARIAS,RODONAVES,SP,9,INTERIOR
ARARAS,RODONAVES,SP,4,INTERIOR
ALEGRETE,RODONAVES,RS,8,INTERIOR
MANOEL VIANA,RODONAVES,RS,8,INTERIOR
QUARAI,RODONAVES,RS,11,INTERIOR
ALFENAS,RODONAVES,MG,4,INTERIOR
DIVISA NOVA,RODONAVES,MG,9,INTERIOR
MONTE BELO,RODONAVES,MG,4,INTERIOR
SAO JOSE DA BARRA,RODONAVES,MG,9,INTERIOR
AMERICO BRASILIENSE,RODONAVES,SP,4,INTERIOR
ARARAQUARA,RODONAVES,SP,4,INTERIOR
BOA ESPERANCA DO SUL,RODONAVES,SP,7,INTERIOR
GAVIAO PEIXOTO,RODONAVES,SP,6,INTERIOR
NOVA EUROPA,RODONAVES,SP,6,INTERIOR
RINCAO,RODONAVES,SP,7,INTERIOR
SANTA LUCIA,RODONAVES,SP,7,INTERIOR
TRABIJU,RODONAVES,SP,7,INTERIOR
AGUAS DE LINDOIA,RODONAVES,SP,4,INTERIOR
AMPARO,RODONAVES,SP,4,INTERIOR
ARCADAS,RODONAVES,SP,5,INTERIOR
JAGUARIUNA,RODONAVES,SP,4,INTERIOR
LINDOIA,RODONAVES,SP,4,INTERIOR
MONTE ALEGRE DO SUL,RODONAVES,SP,8,INTERIOR
MONTE SIAO,RODONAVES,MG,4,INTERIOR
PEDREIRA,RODONAVES,SP,4,INTERIOR
SERRA NEGRA,RODONAVES,SP,4,INTERIOR
CARVALHOPOLIS,RODONAVES,MG,15,INTERIOR
COQUEIRAL,RODONAVES,MG,19,INTERIOR
CORDISLANDIA,RODONAVES,MG,19,INTERIOR
FAMA,RODONAVES,MG,5,INTERIOR
SANTANA DA VARGEM,RODONAVES,MG,19,INTERIOR
SAO BENTO ABADE,RODONAVES,MG,19,INTERIOR
SAO THOME DAS LETRAS,RODONAVES,MG,19,INTERIOR
APUCARANA,RODONAVES,PR,5,INTERIOR
ARAPONGAS,RODONAVES,PR,5,INTERIOR
CALIFORNIA,RODONAVES,PR,5,INTERIOR
CAMBIRA,RODONAVES,PR,5,INTERIOR
MARILANDIA DO SUL,RODONAVES,PR,9,INTERIOR
NOVO ITACOLOMI,RODONAVES,PR,9,INTERIOR
RIO BOM,RODONAVES,PR,9,INTERIOR
SABAUDIA,RODONAVES,PR,7,INTERIOR
ASSIS,RODONAVES,SP,4,INTERIOR
CANDIDO MOTA,RODONAVES,SP,4,INTERIOR
CRUZALIA,RODONAVES,SP,7,INTERIOR
ECHAPORA,RODONAVES,SP,9,INTERIOR
FLORINEA,RODONAVES,SP,8,INTERIOR
GARDENIA,RODONAVES,SP,9,INTERIOR
IEPE,RODONAVES,SP,9,INTERIOR
JOAO RAMALHO,RODONAVES,SP,6,INTERIOR
MARACAI,RODONAVES,SP,7,INTERIOR
NANTES,RODONAVES,SP,9,INTERIOR
NOVA ALEXANDRIA,RODONAVES,SP,5,INTERIOR
PALMITAL,RODONAVES,SP,4,INTERIOR
PARAGUACU PAULISTA,RODONAVES,SP,5,INTERIOR
PEDRINHAS PAULISTA,RODONAVES,SP,7,INTERIOR
PLATINA,RODONAVES,SP,5,INTERIOR
QUATA,RODONAVES,SP,6,INTERIOR
RANCHARIA,RODONAVES,SP,5,INTERIOR
TARUMA,RODONAVES,SP,5,INTERIOR
ARAXA,RODONAVES,MG,4,INTERIOR
IBIA,RODONAVES,MG,7,INTERIOR
PERDIZES,RODONAVES,MG,5,INTERIOR
SACRAMENTO,RODONAVES,MG,4,INTERIOR
TAPIRA,RODONAVES,MG,6,INTERIOR
AGUAS DE SANTA BARBARA,RODONAVES,SP,6,INTERIOR
ARANDU,RODONAVES,SP,6,INTERIOR
AVARE,RODONAVES,SP,4,INTERIOR
CERQUEIRA CESAR,RODONAVES,SP,4,INTERIOR
IARAS,RODONAVES,SP,6,INTERIOR
ITAI,RODONAVES,SP,4,INTERIOR
PARANAPANEMA,RODONAVES,SP,4,INTERIOR
ACEGUA,RODONAVES,RS,11,INTERIOR
BAGE,RODONAVES,RS,6,INTERIOR
CANDIOTA,RODONAVES,RS,11,INTERIOR
DOM PEDRITO,RODONAVES,RS,8,INTERIOR
HULHA NEGRA,RODONAVES,RS,11,INTERIOR
PEDRAS ALTAS,RODONAVES,RS,11,INTERIOR
PINHEIRO MACHADO,RODONAVES,RS,11,INTERIOR
ALFREDO VASCONCELOS,RODONAVES,MG,9,INTERIOR
ALTO RIO DOCE,RODONAVES,MG,15,INTERIOR
ANTONIO CARLOS,RODONAVES,MG,9,INTERIOR
ARACITABA,RODONAVES,MG,15,INTERIOR
BARBACENA,RODONAVES,MG,5,INTERIOR
BIAS FORTES,RODONAVES,MG,15,INTERIOR
CAPELA NOVA,RODONAVES,MG,15,INTERIOR
CIPOTANEA,RODONAVES,MG,15,INTERIOR
DESTERRO DO MELO,RODONAVES,MG,15,INTERIOR
IBERTIOGA,RODONAVES,MG,15,INTERIOR
OLIVEIRA FORTES,RODONAVES,MG,15,INTERIOR
PAIVA,RODONAVES,MG,15,INTERIOR
RESSAQUINHA,RODONAVES,MG,9,INTERIOR
SANTA BARBARA DO TUGURIO,RODONAVES,MG,15,INTERIOR
SANTA RITA DO IBITIPOCA,RODONAVES,MG,15,INTERIOR
SANTANA DO GARAMBEU,RODONAVES,MG,15,INTERIOR
SENHORA DOS REMEDIOS,RODONAVES,MG,15,INTERIOR
BORDA DA MATA,RODONAVES,MG,5,INTERIOR
BUENO BRANDAO,RODONAVES,MG,7,INTERIOR
INCONFIDENTES,RODONAVES,MG,5,INTERIOR
OURO FINO,RODONAVES,MG,5,INTERIOR
TOCOS DO MOJI,RODONAVES,MG,9,INTERIOR
ALTAIR,RODONAVES,SP,9,INTERIOR
BAGUACU,RODONAVES,SP,9,INTERIOR
BARRETOS,RODONAVES,SP,4,INTERIOR
CAJOBI,RODONAVES,SP,7,INTERIOR
GUARACI,RODONAVES,SP,9,INTERIOR
MARCONDESIA,RODONAVES,SP,7,INTERIOR
MONTE VERDE PAULISTA,RODONAVES,SP,7,INTERIOR
OLIMPIA,RODONAVES,SP,5,INTERIOR
SEVERINIA,RODONAVES,SP,7,INTERIOR
AGUDOS,RODONAVES,SP,4,INTERIOR
BAURU,RODONAVES,SP,4,INTERIOR
BOREBI,RODONAVES,SP,9,INTERIOR
CABRALIA PAULISTA,RODONAVES,SP,9,INTERIOR
DUARTINA,RODONAVES,SP,6,INTERIOR
LUCIANOPOLIS,RODONAVES,SP,9,INTERIOR
MACATUBA,RODONAVES,SP,4,INTERIOR
PEDERNEIRAS,RODONAVES,SP,4,INTERIOR
PIRATININGA,RODONAVES,SP,7,INTERIOR
APIUNA,RODONAVES,SC,9,INTERIOR
ASCURRA,RODONAVES,SC,9,INTERIOR
BENEDITO NOVO,RODONAVES,SC,9,INTERIOR
BLUMENAU,RODONAVES,SC,5,INTERIOR
DOUTOR PEDRINHO,RODONAVES,SC,8,INTERIOR
GASPAR,RODONAVES,SC,5,INTERIOR
INDAIAL,RODONAVES,SC,5,INTERIOR
LUIZ ALVES,RODONAVES,SC,5,INTERIOR
POMERODE,RODONAVES,SC,5,INTERIOR
RIO DOS CEDROS,RODONAVES,SC,9,INTERIOR
RODEIO,RODONAVES,SC,7,INTERIOR
TIMBO,RODONAVES,SC,5,INTERIOR
BOTUVERA,RODONAVES,SC,9,INTERIOR
BRUSQUE,RODONAVES,SC,5,INTERIOR
CANELINHA,RODONAVES,SC,5,INTERIOR
GUABIRUBA,RODONAVES,SC,5,INTERIOR
MAJOR GERCINO,RODONAVES,SC,9,INTERIOR
NOVA TRENTO,RODONAVES,SC,7,INTERIOR
SAO JOAO BATISTA,RODONAVES,SC,7,INTERIOR
TIJUCAS,RODONAVES,SC,5,INTERIOR
BEBEDOURO,RODONAVES,SP,4,INTERIOR
BOTAFOGO,RODONAVES,SP,5,INTERIOR
CANDIDO RODRIGUES,RODONAVES,SP,9,INTERIOR
COLINA,RODONAVES,SP,4,INTERIOR
FERNANDO PRESTES,RODONAVES,SP,9,INTERIOR
IBITIUVA,RODONAVES,SP,5,INTERIOR
JABORANDI,RODONAVES,SP,5,INTERIOR
MONTE AZUL PAULISTA,RODONAVES,SP,4,INTERIOR
PIRANGI,RODONAVES,SP,6,INTERIOR
PITANGUEIRAS,RODONAVES,SP,5,INTERIOR
TAIACU,RODONAVES,SP,6,INTERIOR
TAIUVA,RODONAVES,SP,6,INTERIOR
TAQUARAL,RODONAVES,SP,6,INTERIOR
TERRA ROXA,RODONAVES,SP,5,INTERIOR
VIRADOURO,RODONAVES,SP,5,INTERIOR
VISTA ALEGRE DO ALTO,RODONAVES,SP,6,INTERIOR
BELO HORIZONTE,RODONAVES,MG,7,CAPITAL
BETIM,RODONAVES,MG,7,CAPITAL
BRUMADINHO,RODONAVES,MG,9,CAPITAL
CAETE,RODONAVES,MG,11,CAPITAL
CONFINS,RODONAVES,MG,7,CAPITAL
CONTAGEM,RODONAVES,MG,7,CAPITAL
ESMERALDAS,RODONAVES,MG,11,CAPITAL
FLORESTAL,RODONAVES,MG,11,CAPITAL
IBIRITE,RODONAVES,MG,7,CAPITAL
IGARAPE,RODONAVES,MG,11,CAPITAL
ITABIRITO,RODONAVES,MG,11,CAPITAL
ITATIAIUCU,RODONAVES,MG,11,CAPITAL
JUATUBA,RODONAVES,MG,11,CAPITAL
LAGOA SANTA,RODONAVES,MG,7,CAPITAL
MARIO CAMPOS,RODONAVES,MG,9,CAPITAL
MATEUS LEME,RODONAVES,MG,11,CAPITAL
NOVA LIMA,RODONAVES,MG,7,CAPITAL
NOVA UNIAO,RODONAVES,MG,11,CAPITAL
RAPOSOS,RODONAVES,MG,11,CAPITAL
RAVENA,RODONAVES,MG,11,CAPITAL
RIBEIRAO DAS NEVES,RODONAVES,MG,7,CAPITAL
RIO ACIMA,RODONAVES,MG,11,CAPITAL
SABARA,RODONAVES,MG,11,CAPITAL
SANTA LUZIA,RODONAVES,MG,7,CAPITAL
SAO JOAQUIM DE BICAS,RODONAVES,MG,11,CAPITAL
SARZEDO,RODONAVES,MG,9,CAPITAL
VESPASIANO,RODONAVES,MG,7,CAPITAL
ATIBAIA,RODONAVES,SP,4,INTERIOR
BATATUBA,RODONAVES,SP,8,INTERIOR
BOM JESUS DOS PERDOES,RODONAVES,SP,6,INTERIOR
BRAGANCA PAULISTA,RODONAVES,SP,4,INTERIOR
MORUNGABA,RODONAVES,SP,8,INTERIOR
NAZARE PAULISTA,RODONAVES,SP,6,INTERIOR
PEDRA BELA,RODONAVES,SP,8,INTERIOR
PINHALZINHO,RODONAVES,SP,4,INTERIOR
PIRACAIA,RODONAVES,SP,8,INTERIOR
SOCORRO,RODONAVES,SP,4,INTERIOR
TUIUTI,RODONAVES,SP,8,INTERIOR
ANHEMBI,RODONAVES,SP,9,INTERIOR
APARECIDA DE SAO MANUEL,RODONAVES,SP,6,INTERIOR
AREIOPOLIS,RODONAVES,SP,4,INTERIOR
BOFETE,RODONAVES,SP,9,INTERIOR
BOTUCATU,RODONAVES,SP,4,INTERIOR
ITATINGA,RODONAVES,SP,6,INTERIOR
LENCOIS PAULISTA,RODONAVES,SP,4,INTERIOR
PARDINHO,RODONAVES,SP,9,INTERIOR
PRATANIA,RODONAVES,SP,6,INTERIOR
SANTA MARIA DA SERRA,RODONAVES,SP,9,INTERIOR
SAO MANUEL,RODONAVES,SP,4,INTERIOR
AGUAS LINDAS DE GOIAS,RODONAVES,GO,7,INTERIOR
CIDADE OCIDENTAL,RODONAVES,GO,6,INTERIOR
FORMOSA,RODONAVES,GO,5,INTERIOR
LUZIANIA,RODONAVES,GO,6,INTERIOR
NOVO GAMA,RODONAVES,GO,6,INTERIOR
PADRE BERNARDO,RODONAVES,GO,8,INTERIOR
PLANALTINA,RODONAVES,GO,8,INTERIOR
VALPARAISO DE GOIAS,RODONAVES,GO,6,INTERIOR
CAMPINAS,RODONAVES,SP,4,INTERIOR
COSMOPOLIS,RODONAVES,SP,4,INTERIOR
HORTOLANDIA,RODONAVES,SP,4,INTERIOR
MONTE MOR,RODONAVES,SP,4,INTERIOR
NOVA VENEZA,RODONAVES,SP,4,INTERIOR
PAULINIA,RODONAVES,SP,4,INTERIOR
SUMARE,RODONAVES,SP,4,INTERIOR
BOA ESPERANCA,RODONAVES,MG,4,INTERIOR
CAMPO DO MEIO,RODONAVES,MG,5,INTERIOR
CAMPOS GERAIS,RODONAVES,MG,4,INTERIOR
GUAPE,RODONAVES,MG,9,INTERIOR
ILICINEA,RODONAVES,MG,9,INTERIOR
ANAHY,RODONAVES,PR,9,INTERIOR
ASSIS CHATEAUBRIAND,RODONAVES,PR,8,INTERIOR
BOA VISTA DA APARECIDA,RODONAVES,PR,7,INTERIOR
BRAGANEY,RODONAVES,PR,9,INTERIOR
CAFELANDIA,RODONAVES,PR,7,INTERIOR
CAMPO BONITO,RODONAVES,PR,9,INTERIOR
CAPITAO LEONIDAS MARQUES,RODONAVES,PR,7,INTERIOR
CASCAVEL,RODONAVES,PR,5,INTERIOR
CATANDUVAS,RODONAVES,PR,7,INTERIOR
CORBELIA,RODONAVES,PR,7,INTERIOR
DIAMANTE DO SUL,RODONAVES,PR,10,INTERIOR
ESPIGAO ALTO DO IGUACU,RODONAVES,PR,8,INTERIOR
FORMOSA DO OESTE,RODONAVES,PR,9,INTERIOR
GUARANIACU,RODONAVES,PR,7,INTERIOR
IBEMA,RODONAVES,PR,7,INTERIOR
IGUATU,RODONAVES,PR,9,INTERIOR
IRACEMA DO OESTE,RODONAVES,PR,9,INTERIOR
JESUITAS,RODONAVES,PR,9,INTERIOR
LINDOESTE,RODONAVES,PR,7,INTERIOR
NOVA AURORA,RODONAVES,PR,7,INTERIOR
QUEDAS DO IGUACU,RODONAVES,PR,8,INTERIOR
SANTA LUCIA,RODONAVES,PR,9,INTERIOR
SANTA TEREZA DO OESTE,RODONAVES,PR,7,INTERIOR
TRES BARRAS DO PARANA,RODONAVES,PR,7,INTERIOR
TUPASSI,RODONAVES,PR,7,INTERIOR
AGUANIL,RODONAVES,MG,9,INTERIOR
CAMPO BELO,RODONAVES,MG,5,INTERIOR
CANDEIAS,RODONAVES,MG,7,INTERIOR
CRISTAIS,RODONAVES,MG,9,INTERIOR
CATALAO,RODONAVES,GO,5,INTERIOR
GOIANDIRA,RODONAVES,GO,5,INTERIOR
IPAMERI,RODONAVES,GO,9,INTERIOR
OUVIDOR,RODONAVES,GO,5,INTERIOR
PIRES DO RIO,RODONAVES,GO,9,INTERIOR
URUTAI,RODONAVES,GO,9,INTERIOR
ARIRANHA,RODONAVES,SP,5,INTERIOR
CATANDUVA,RODONAVES,SP,4,INTERIOR
CATIGUA,RODONAVES,SP,7,INTERIOR
ELISIARIO,RODONAVES,SP,5,INTERIOR
EMBAUBA,RODONAVES,SP,7,INTERIOR
IBIRA,RODONAVES,SP,4,INTERIOR
IRAPUA,RODONAVES,SP,7,INTERIOR
ITAJOBI,RODONAVES,SP,4,INTERIOR
MARAPOAMA,RODONAVES,SP,4,INTERIOR
NOVAIS,RODONAVES,SP,7,INTERIOR
PALMARES PAULISTA,RODONAVES,SP,7,INTERIOR
PARAISO,RODONAVES,SP,7,INTERIOR
PINDORAMA,RODONAVES,SP,4,INTERIOR
SALES,RODONAVES,SP,7,INTERIOR
SANTA ADELIA,RODONAVES,SP,4,INTERIOR
TABAPUA,RODONAVES,SP,7,INTERIOR
URUPES,RODONAVES,SP,4,INTERIOR
ALPINOPOLIS,RODONAVES,MG,6,INTERIOR
